word	count
bēdīgi	9
tabakas	9
pazīstami	9
lielāks	9
muiža	9
būšu	9
aukstā	9
glīti	9
smags	9
pienāca	9
nākdams	9
jautājumiem	9
redzēdama	9
aizbrauca	9
dažām	9
gabals	9
agri	9
dažādas	9
spieda	9
jādzīvo	9
raugi	9
strādā	9
lieli	9
kāzās	9
rati	9
krāsni	9
lietai	9
drēbēm	9
dzēra	9
pēdējie	9
palikusi	9
lienīti	9
pļavu	9
mājai	9
pašās	9
grāba	9
liesmās	9
drīzumā	9
darāms	9
liekat	9
vajag	9
nebūšot	9
vesela	9
nākat	9
jāpaliek	9
stundām	9
meitai	9
domājis	9
nevienu	9
spiedās	9
ticību	9
redzot	9
svētu	9
pamaz	9
lēni	9
plaši	9
nevaram	9
draugu	9
nolūku	9
ķēdi	9
vārtiem	9
bāliņ	9
pilni	9
dēli	9
pagriezās	9
palīdzēt	9
ēd	9
grieza	9
jāliek	9
liktu	9
saprata	9
runāšanas	9
krodziniekam	9
kaklā	9
dūšas	9
malām	9
bīties	9
piktumu	9
saņemšanu	9
klaji	9
ikkatrā	9
šovakar	9
sprieda	9
vēja	9
nevajagot	9
grāmatā	9
apriņķa	9
labas	9
sveicināja	9
atrodams	9
trešā	9
netaisnības	9
nespēju	9
laikus	9
beidzis	9
dvēseles	9
«tomēr	9
pavadīja	9
pusnakts	9
izturēšanos	9
nejauši	9
sarunāšanās	9
īstu	9
tumšs	9
baudīt	9
vakara	9
smējās	9
griezt	9
nāvē	9
šķirstā	9
slātava	9
devis	9
noprast	9
neies	9
dabūjuši	9
aizgājuši	9
šķirsta	9
rakstu	9
nopirkt	9
stāties	9
laida	9
izprast	9
braukšanas	9
strupi	9
zemei	9
pulku	9
uzlika	9
valdībai	9
atbildi	9
puikas	9
savādu	9
meklēdama	9
nelaime	9
rādīties	9
žēlīgi	9
izdosies	9
tiesības	9
biedri	9
klētī	9
dzeršanas	9
smieties	9
ausis	9
kapā	9
biedrība	9
skaidrāk	9
sūtīja	9
trepēm	9
sodība	9
šrekhuberam	9
palīgiem	9
palīgi	9
čangalienā	9
iztrūcies	9
gadījumu	9
raudāt	9
nodeva	9
piedošanas	9
valšķu	9
proponēta	9
grāmatiņu	9
sudmalās	9
applaudisemangas	9
drekberģim	9
kundzei	9
noiet	8
sarunājās	8
rītam	8
zināšanu	8
sarkano	8
klājas	8
nolikt	8
noņēma	8
segu	8
izrunāties	8
vadīja	8
«nāc	8
mīļi	8
mazo	8
pilnīgā	8
lāga	8
godībām	8
pašos	8
dzird	8
gaitiņš	8
domājusi	8
meklēdams	8
jādzird	8
redzu	8
piekodināja	8
paliekot	8
braukšus	8
pierādīt	8
lauka	8
citās	8
liktenis	8
mēneša	8
skaisti	8
neņēma	8
brītiņa	8
nedrīkstu	8
nastām	8
lūdz	8
visam	8
jābīstas	8
kārtai	8
vīram	8
dzimteni	8
turieni	8
baltās	8
seši	8
«tev	8
nolicis	8
satikties	8
sapnī	8
vēlēts	8
šķībi	8
cēli	8
izņēma	8
sācis	8
vaigiem	8
brāļi	8
zābakus	8
lūkojās	8
palikuši	8
